完全修飾名(FQDN),種類,スコープ,更新回数,作成日,作成日ハッシュ,最終更新日,最終更新日ハッシュ,被参照数(ref_count),実利用フラグ(actual_use)
.pyst/tmp/temp.py::test_extract_year_from_path,function,global,0,(working_),working_,(working_),working_,0,TRUE
.pyst/tmp/temp.py::test_extract_year_from_path.p,variable,local,0,(working_),working_,(working_),working_,0,TRUE
.pyst/tmp/temp.py::test_extract_year_fallback_to_mtime,function,global,0,(working_),working_,(working_),working_,0,TRUE
.pyst/tmp/temp.py::test_extract_year_fallback_to_mtime.p,variable,local,0,(working_),working_,(working_),working_,0,TRUE
.pyst/tmp/temp.py::test_extract_year_fallback_to_mtime.year,variable,local,0,(working_),working_,(working_),working_,0,TRUE
.pyst/tmp/temp.py::test_year_weight_current,function,global,0,(working_),working_,(working_),working_,0,TRUE
.pyst/tmp/temp.py::test_year_weight_current.current,variable,local,0,(working_),working_,(working_),working_,0,TRUE
.pyst/tmp/temp.py::test_year_weight_old,function,global,0,(working_),working_,(working_),working_,0,TRUE
.pyst/tmp/temp.py::test_year_weight_old.old_year,variable,local,0,(working_),working_,(working_),working_,0,TRUE
sources/dps_aggregator.py::POSITION_WEIGHT,variable,global,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_aggregator.py::aggregate_dps,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,4,TRUE
sources/dps_aggregator.py::aggregate_dps.weighted_sum,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_aggregator.py::aggregate_dps.weight_total,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_aggregator.py::aggregate_dps.s_topic_agg,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_aggregator.py::aggregate_dps.dps_score,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_checkpoint.py::CHECKPOINT_FILE,variable,global,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_checkpoint.py::load_checkpoint,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,1,TRUE
sources/dps_checkpoint.py::save_checkpoint,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
